sequence number,RSSI,send time,content
1,-67,15:27:20,$00168#00000001#-067#1680074840818#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.80 RSRQ:-9.70 TAC:607 Id:279 EARFCN:3716 PWR:-66.32 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
2,-65,15:27:49,$00168#00000002#-065#1680074869317#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.70 RSRQ:-9.20 TAC:607 Id:279 EARFCN:3716 PWR:-66.72 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
3,-65,15:28:17,$00169#00000003#-065#1680074897834#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-82.60 RSRQ:-10.50 TAC:607 Id:279 EARFCN:3716 PWR:-64.32 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
4,-67,15:28:46,$00169#00000004#-067#1680074926339#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.70 RSRQ:-11.20 TAC:607 Id:279 EARFCN:3716 PWR:-66.72 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
5,-67,15:29:14,$00169#00000005#-067#1680074954855#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.80 RSRQ:-10.20 TAC:607 Id:279 EARFCN:3716 PWR:-66.82 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
6,-69,15:29:43,$00168#00000006#-069#1680074983354#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.10 RSRQ:-9.60 TAC:607 Id:279 EARFCN:3716 PWR:-67.72 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
7,-67,15:30:11,$00168#00000007#-067#1680075011869#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.80 RSRQ:-9.80 TAC:607 Id:279 EARFCN:3716 PWR:-67.22 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
8,-69,15:30:40,$00169#00000008#-069#1680075040386#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.70 RSRQ:-10.30 TAC:607 Id:279 EARFCN:3716 PWR:-67.62 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
9,-67,15:31:08,$00169#00000009#-067#1680075068902#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.90 RSRQ:-10.00 TAC:607 Id:279 EARFCN:3716 PWR:-67.12 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
10,-65,15:31:37,$00168#00000010#-065#1680075097419#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-82.10 RSRQ:-9.30 TAC:607 Id:279 EARFCN:3716 PWR:-65.02 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
11,-67,15:32:05,$00168#00000011#-067#1680075125935#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.10 RSRQ:-9.90 TAC:607 Id:279 EARFCN:3716 PWR:-65.42 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
12,-67,15:32:34,$00168#00000012#-067#1680075154447#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.70 RSRQ:-9.80 TAC:607 Id:279 EARFCN:3716 PWR:-67.12 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
13,-69,15:33:02,$00168#00000013#-069#1680075182963#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.20 RSRQ:-9.40 TAC:607 Id:279 EARFCN:3716 PWR:-67.02 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
14,-67,15:33:31,$00169#00000014#-067#1680075211480#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.30 RSRQ:-10.30 TAC:607 Id:279 EARFCN:3716 PWR:-66.22 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
15,-67,15:33:59,$00168#00000015#-067#1680075239996#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-82.90 RSRQ:-8.90 TAC:607 Id:279 EARFCN:3716 PWR:-66.22 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
16,-67,15:34:28,$00169#00000016#-067#1680075268495#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.30 RSRQ:-10.60 TAC:607 Id:279 EARFCN:3716 PWR:-66.92 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
17,-67,15:34:56,$00169#00000017#-067#1680075296993#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.90 RSRQ:-11.30 TAC:607 Id:279 EARFCN:3716 PWR:-65.82 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
18,-67,15:35:25,$00169#00000018#-067#1680075325491#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.20 RSRQ:-10.80 TAC:607 Id:279 EARFCN:3716 PWR:-64.62 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
19,-65,15:35:53,$00169#00000019#-065#1680075353978#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.70 RSRQ:-10.00 TAC:607 Id:279 EARFCN:3716 PWR:-66.92 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
20,-65,15:36:22,$00168#00000020#-065#1680075382476#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-82.80 RSRQ:-9.30 TAC:607 Id:279 EARFCN:3716 PWR:-65.72 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
21,-67,15:36:50,$00169#00000021#-067#1680075410995#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.00 RSRQ:-10.40 TAC:607 Id:279 EARFCN:3716 PWR:-64.82 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
22,-69,15:37:19,$00168#00000022#-069#1680075439497#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.00 RSRQ:-9.60 TAC:607 Id:279 EARFCN:3716 PWR:-67.62 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
23,-67,15:37:48,$00168#00000023#-067#1680075468015#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.00 RSRQ:-9.70 TAC:607 Id:279 EARFCN:3716 PWR:-66.52 PAGING:256 CID:0xB285225 BAND:8 BW:20000?
