sequence number,RSSI,send time,content
1,-53,17:18:21,$00168#00000001#-053#1679735901574#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.10 RSRQ:-8.80 TAC:616 Id:381 EARFCN:1209 PWR:-52.52 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
2,-55,17:18:50,$00168#00000002#-055#1679735930077#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.00 RSRQ:-8.50 TAC:616 Id:381 EARFCN:1209 PWR:-53.72 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
3,-55,17:19:18,$00168#00000003#-055#1679735958579#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.40 RSRQ:-9.60 TAC:616 Id:381 EARFCN:1209 PWR:-52.02 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
4,-55,17:19:47,$00168#00000004#-055#1679735987081#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-71.40 RSRQ:-9.20 TAC:616 Id:381 EARFCN:1209 PWR:-54.42 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
5,-55,17:20:15,$00169#00000005#-055#1679736015585#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.20 RSRQ:-10.60 TAC:616 Id:381 EARFCN:1209 PWR:-51.82 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
6,-55,17:20:44,$00169#00000006#-055#1679736044101#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.70 RSRQ:-10.20 TAC:616 Id:381 EARFCN:1209 PWR:-52.72 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
7,-53,17:21:12,$00168#00000007#-053#1679736072618#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.00 RSRQ:-9.50 TAC:616 Id:381 EARFCN:1209 PWR:-51.72 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
8,-51,17:21:41,$00168#00000008#-051#1679736101134#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-68.80 RSRQ:-9.10 TAC:616 Id:381 EARFCN:1209 PWR:-51.92 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
9,-53,17:22:09,$00168#00000009#-053#1679736129650#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.00 RSRQ:-7.90 TAC:616 Id:381 EARFCN:1209 PWR:-53.32 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
10,-53,17:22:38,$00168#00000010#-053#1679736158166#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-68.90 RSRQ:-9.30 TAC:616 Id:381 EARFCN:1209 PWR:-51.82 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
11,-53,17:23:06,$00168#00000011#-053#1679736186682#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.80 RSRQ:-8.70 TAC:616 Id:381 EARFCN:1209 PWR:-53.32 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
12,-55,17:23:35,$00168#00000012#-055#1679736215195#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-71.10 RSRQ:-9.30 TAC:616 Id:381 EARFCN:1209 PWR:-54.02 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
13,-53,17:24:03,$00168#00000013#-053#1679736243711#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.40 RSRQ:-8.20 TAC:616 Id:381 EARFCN:1209 PWR:-53.42 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
14,-55,17:24:32,$00168#00000014#-055#1679736272227#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.90 RSRQ:-8.90 TAC:616 Id:381 EARFCN:1209 PWR:-54.22 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
15,-53,17:25:00,$00168#00000015#-053#1679736300743#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.60 RSRQ:-8.80 TAC:616 Id:381 EARFCN:1209 PWR:-53.02 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
16,-55,17:25:29,$00168#00000016#-055#1679736329259#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.60 RSRQ:-8.50 TAC:616 Id:381 EARFCN:1209 PWR:-53.32 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
17,-53,17:25:57,$00168#00000017#-053#1679736357759#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.00 RSRQ:-9.70 TAC:616 Id:381 EARFCN:1209 PWR:-52.52 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
18,-55,17:26:26,$00169#00000018#-055#1679736386258#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.90 RSRQ:-10.10 TAC:616 Id:381 EARFCN:1209 PWR:-53.02 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
19,-53,17:26:54,$00168#00000019#-053#1679736414756#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.50 RSRQ:-9.30 TAC:616 Id:381 EARFCN:1209 PWR:-53.42 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
20,-55,17:27:23,$00168#00000020#-055#1679736443254#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-71.20 RSRQ:-9.70 TAC:616 Id:381 EARFCN:1209 PWR:-53.72 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
21,-55,17:27:51,$00168#00000021#-055#1679736471753#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.20 RSRQ:-9.10 TAC:616 Id:381 EARFCN:1209 PWR:-53.32 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
22,-53,17:28:20,$00168#00000022#-053#1679736500252#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.90 RSRQ:-9.40 TAC:616 Id:381 EARFCN:1209 PWR:-52.72 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
23,-55,17:28:48,$00168#00000023#-055#1679736528755#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.70 RSRQ:-8.30 TAC:616 Id:381 EARFCN:1209 PWR:-53.62 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
24,-53,17:29:17,$00169#00000024#-053#1679736557257#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-71.00 RSRQ:-11.20 TAC:616 Id:381 EARFCN:1209 PWR:-52.02 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
25,-53,17:29:45,$00169#00000025#-053#1679736585756#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.90 RSRQ:-11.40 TAC:616 Id:381 EARFCN:1209 PWR:-51.72 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
26,-55,17:30:14,$00168#00000026#-055#1679736614257#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.00 RSRQ:-7.70 TAC:616 Id:381 EARFCN:1209 PWR:-53.52 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
27,-55,17:30:42,$00168#00000027#-055#1679736642755#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-68.50 RSRQ:-8.80 TAC:616 Id:381 EARFCN:1209 PWR:-51.92 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
28,-53,17:31:11,$00169#00000028#-053#1679736671253#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.50 RSRQ:-10.40 TAC:616 Id:381 EARFCN:1209 PWR:-52.32 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
29,-53,17:31:39,$00169#00000029#-053#1679736699751#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.20 RSRQ:-10.50 TAC:616 Id:381 EARFCN:1209 PWR:-50.92 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
30,-53,17:32:08,$00168#00000030#-053#1679736728249#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.30 RSRQ:-9.00 TAC:616 Id:381 EARFCN:1209 PWR:-52.52 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
31,-53,17:32:36,$00168#00000031#-053#1679736756739#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.80 RSRQ:-9.10 TAC:616 Id:381 EARFCN:1209 PWR:-52.92 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
32,-53,17:33:05,$00169#00000032#-053#1679736785236#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.30 RSRQ:-11.50 TAC:616 Id:381 EARFCN:1209 PWR:-51.02 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
33,-53,17:33:33,$00168#00000033#-053#1679736813734#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-68.20 RSRQ:-8.20 TAC:616 Id:381 EARFCN:1209 PWR:-52.22 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
34,-53,17:34:02,$00169#00000034#-053#1679736842232#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.00 RSRQ:-10.10 TAC:616 Id:381 EARFCN:1209 PWR:-51.12 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
35,-53,17:34:30,$00168#00000035#-053#1679736870729#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.00 RSRQ:-7.80 TAC:616 Id:381 EARFCN:1209 PWR:-53.42 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
36,-53,17:34:59,$00168#00000036#-053#1679736899227#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.60 RSRQ:-9.60 TAC:616 Id:381 EARFCN:1209 PWR:-52.22 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
37,-53,17:35:27,$00168#00000037#-053#1679736927721#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.60 RSRQ:-9.10 TAC:616 Id:381 EARFCN:1209 PWR:-53.72 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
38,-53,17:35:56,$00168#00000038#-053#1679736956219#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.00 RSRQ:-8.00 TAC:616 Id:381 EARFCN:1209 PWR:-53.22 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
39,-55,17:36:24,$00168#00000039#-055#1679736984711#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.60 RSRQ:-9.50 TAC:616 Id:381 EARFCN:1209 PWR:-52.32 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
40,-53,17:36:53,$00168#00000040#-053#1679737013209#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.50 RSRQ:-9.70 TAC:616 Id:381 EARFCN:1209 PWR:-52.02 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
41,-55,17:37:21,$00168#00000041#-055#1679737041698#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-67.30 RSRQ:-8.60 TAC:616 Id:381 EARFCN:1209 PWR:-50.92 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
42,-53,17:37:50,$00168#00000042#-053#1679737070203#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.00 RSRQ:-7.90 TAC:616 Id:381 EARFCN:1209 PWR:-53.32 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
43,-53,17:38:18,$00168#00000043#-053#1679737098698#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.30 RSRQ:-8.80 TAC:616 Id:381 EARFCN:1209 PWR:-53.72 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
