sequence number,RSSI,send time,content
1,-55,18:13:17,$00168#00000001#-055#1679739197051#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.10 RSRQ:-9.20 TAC:616 Id:381 EARFCN:1209 PWR:-53.12 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
2,-53,18:13:45,$00169#00000002#-053#1679739225546#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.00 RSRQ:-10.20 TAC:616 Id:381 EARFCN:1209 PWR:-51.02 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
3,-51,18:14:14,$00168#00000003#-051#1679739254041#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-68.80 RSRQ:-9.20 TAC:616 Id:381 EARFCN:1209 PWR:-51.82 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
4,-53,18:14:42,$00168#00000004#-053#1679739282539#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-68.90 RSRQ:-8.50 TAC:616 Id:381 EARFCN:1209 PWR:-52.62 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
5,-51,18:15:11,$00168#00000005#-051#1679739311036#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-68.30 RSRQ:-9.00 TAC:616 Id:381 EARFCN:1209 PWR:-51.52 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
6,-53,18:15:39,$00168#00000006#-053#1679739339544#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.20 RSRQ:-9.80 TAC:616 Id:381 EARFCN:1209 PWR:-52.62 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
7,-53,18:16:08,$00168#00000007#-053#1679739368062#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.20 RSRQ:-9.60 TAC:616 Id:381 EARFCN:1209 PWR:-51.82 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
8,-55,18:16:36,$00168#00000008#-055#1679739396579#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.70 RSRQ:-8.80 TAC:616 Id:381 EARFCN:1209 PWR:-54.12 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
9,-53,18:17:05,$00168#00000009#-053#1679739425096#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-68.70 RSRQ:-9.00 TAC:616 Id:381 EARFCN:1209 PWR:-51.92 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
10,-53,18:17:33,$00168#00000010#-053#1679739453612#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-68.00 RSRQ:-7.80 TAC:616 Id:381 EARFCN:1209 PWR:-52.42 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
11,-53,18:18:02,$00169#00000011#-053#1679739482132#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-68.80 RSRQ:-10.00 TAC:616 Id:381 EARFCN:1209 PWR:-51.02 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
