sequence number,RSSI,send time,content
1,-77,12:58:10,$00168#00000001#-077#1680065890929#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-93.90 RSRQ:-10.50 TAC:616 Id:20 EARFCN:3716 PWR:-75.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
2,-77,12:58:39,$00168#00000002#-077#1680065919446#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-93.10 RSRQ:-10.50 TAC:616 Id:20 EARFCN:3716 PWR:-74.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
3,-77,12:59:07,$00167#00000003#-077#1680065947963#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.10 RSRQ:-9.20 TAC:616 Id:20 EARFCN:3716 PWR:-74.12 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
4,-77,12:59:36,$00168#00000004#-077#1680065976480#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-94.90 RSRQ:-11.20 TAC:616 Id:20 EARFCN:3716 PWR:-75.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
5,-77,13:00:04,$00036#00000005#-077#1680066004964#?
6,-75,13:00:33,$00168#00000006#-075#1680066033486#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-92.90 RSRQ:-9.90 TAC:616 Id:221 EARFCN:3716 PWR:-75.22 PAGING:256 CID:0xB41E827 BAND:8 BW:20000?
7,-75,13:01:02,$00169#00000007#-075#1680066062003#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-93.80 RSRQ:-11.70 TAC:616 Id:221 EARFCN:3716 PWR:-74.32 PAGING:256 CID:0xB41E827 BAND:8 BW:20000?
8,-77,13:01:30,$00169#00000008#-077#1680066090501#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-93.10 RSRQ:-10.30 TAC:616 Id:221 EARFCN:3716 PWR:-75.02 PAGING:256 CID:0xB41E827 BAND:8 BW:20000?
9,-75,13:01:59,$00169#00000009#-075#1680066119021#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-92.70 RSRQ:-10.40 TAC:616 Id:221 EARFCN:3716 PWR:-74.52 PAGING:256 CID:0xB41E827 BAND:8 BW:20000?
10,-75,13:02:27,$00169#00000010#-075#1680066147537#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-93.50 RSRQ:-11.00 TAC:616 Id:221 EARFCN:3716 PWR:-74.72 PAGING:256 CID:0xB41E827 BAND:8 BW:20000?
11,-77,13:02:56,$00169#00000011#-077#1680066176052#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-93.00 RSRQ:-10.10 TAC:616 Id:221 EARFCN:3716 PWR:-75.12 PAGING:256 CID:0xB41E827 BAND:8 BW:20000?
12,-75,13:03:24,$00170#00000012#-075#1680066204567#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-100.00 RSRQ:-19.00 TAC:616 Id:221 EARFCN:3716 PWR:-73.22 PAGING:256 CID:0xB41E827 BAND:8 BW:20000?
13,-79,13:03:53,$00168#00000013#-079#1680066233097#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-96.40 RSRQ:-6.90 TAC:616 Id:440 EARFCN:1209 PWR:-81.72 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
14,-69,13:04:21,$00169#00000014#-069#1680066261614#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-97.60 RSRQ:-14.40 TAC:616 Id:440 EARFCN:1209 PWR:-75.42 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
15,-73,13:04:50,$00168#00000015#-073#1680066290134#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.30 RSRQ:-5.50 TAC:616 Id:266 EARFCN:1209 PWR:-75.02 PAGING:256 CID:0xB41E824 BAND:3 BW:20000?
16,-87,13:05:18,$00170#00000016#-087#1680066318650#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-117.40 RSRQ:-25.20 TAC:616 Id:266 EARFCN:1209 PWR:-84.42 PAGING:256 CID:0xB41E824 BAND:3 BW:20000?
17,-69,13:05:47,$00168#00000017#-069#1680066347166#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.00 RSRQ:-7.80 TAC:616 Id:266 EARFCN:1209 PWR:-68.42 PAGING:256 CID:0xB41E824 BAND:3 BW:20000?
