sequence number,RSSI,send time,content
1,85,16:29:30,$00167#00000001#0085#1693038570341#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-79.30 RSRQ:-6.10 TAC:616 Id:20 EARFCN:3716 PWR:-65.42 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
2,-67,16:29:58,$00167#00000002#-067#1693038598857#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-80.20 RSRQ:-8.70 TAC:616 Id:20 EARFCN:3716 PWR:-63.72 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
3,-65,16:30:27,$00167#00000003#-065#1693038627374#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-79.60 RSRQ:-8.60 TAC:616 Id:20 EARFCN:3716 PWR:-63.22 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
