sequence number,RSSI,send time,content
1,-77,13:27:37,$00167#00000001#-077#1680067657195#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-93.80 RSRQ:-6.60 TAC:616 Id:20 EARFCN:3716 PWR:-79.42 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
2,-75,13:28:05,$00167#00000002#-075#1680067685712#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-93.20 RSRQ:-9.90 TAC:616 Id:20 EARFCN:3716 PWR:-75.52 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
3,-77,13:28:34,$00167#00000003#-077#1680067714228#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.70 RSRQ:-8.60 TAC:616 Id:20 EARFCN:3716 PWR:-75.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
4,-75,13:29:02,$00167#00000004#-075#1680067742740#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-90.30 RSRQ:-9.90 TAC:616 Id:20 EARFCN:3716 PWR:-72.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
5,-71,13:29:31,$00167#00000005#-071#1680067771237#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-90.80 RSRQ:-9.20 TAC:616 Id:20 EARFCN:3716 PWR:-73.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
6,-71,13:29:59,$00168#00000006#-071#1680067799749#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.40 RSRQ:-10.40 TAC:616 Id:20 EARFCN:3716 PWR:-69.22 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
7,-71,13:30:28,$00167#00000007#-071#1680067828257#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.10 RSRQ:-9.40 TAC:616 Id:20 EARFCN:3716 PWR:-69.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
8,-71,13:30:56,$00167#00000008#-071#1680067856762#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.20 RSRQ:-9.10 TAC:616 Id:20 EARFCN:3716 PWR:-71.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
9,-73,13:31:25,$00168#00000009#-073#1680067885268#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.80 RSRQ:-10.10 TAC:616 Id:20 EARFCN:3716 PWR:-70.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
10,-83,13:31:53,$00167#00000010#-083#1680067913781#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-97.70 RSRQ:-9.50 TAC:616 Id:20 EARFCN:3716 PWR:-80.42 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
