sequence number,RSSI,send time,received time,received date,delay,content
25,-93,1680070691515,1680070697886,14:18:17,6371,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-109.80 RSRQ:-9.10 TAC:616 Id:440 EARFCN:1209 PWR:-92.92 PAGING:256 CID:0xB169624 BAND:3 BW:20000
26,-95,1680070720011,1680070726108,14:18:46,6097,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-110.10 RSRQ:-9.30 TAC:616 Id:440 EARFCN:1209 PWR:-93.02 PAGING:256 CID:0xB169624 BAND:3 BW:20000
27,-93,1680070748514,1680070754206,14:19:14,5692,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-109.10 RSRQ:-8.20 TAC:616 Id:440 EARFCN:1209 PWR:-93.12 PAGING:256 CID:0xB169624 BAND:3 BW:20000
28,-89,1680070777014,1680070783003,14:19:43,5989,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-101.90 RSRQ:-6.80 TAC:616 Id:440 EARFCN:1209 PWR:-87.32 PAGING:256 CID:0xB169624 BAND:3 BW:20000
29,-95,1680070805511,1680070812398,14:20:12,6887,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-116.10 RSRQ:-14.80 TAC:616 Id:440 EARFCN:1209 PWR:-93.52 PAGING:256 CID:0xB169624 BAND:3 BW:20000
30,-77,1680070834010,1680070839240,14:20:39,5230,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-94.10 RSRQ:-8.80 TAC:616 Id:221 EARFCN:3716 PWR:-77.52 PAGING:256 CID:0xB41E827 BAND:8 BW:20000
31,-89,1680070862511,1680070892612,14:21:32,30101,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-113.20 RSRQ:-18.00 TAC:616 Id:221 EARFCN:3716 PWR:-87.42 PAGING:256 CID:0xB41E827 BAND:8 BW:20000
32,-73,1680070891008,1680070897660,14:21:37,6652,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-93.90 RSRQ:-11.30 TAC:616 Id:85 EARFCN:1209 PWR:-74.82 PAGING:256 CID:0xB169623 BAND:3 BW:20000
33,-71,1680070919508,1680070925727,14:22:05,6219,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.50 RSRQ:-13.80 TAC:616 Id:440 EARFCN:1209 PWR:-69.92 PAGING:256 CID:0xB169624 BAND:3 BW:20000
34,-75,1680070948013,1680070953884,14:22:33,5871,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-90.30 RSRQ:-9.70 TAC:616 Id:440 EARFCN:1209 PWR:-72.82 PAGING:256 CID:0xB169624 BAND:3 BW:20000
35,-71,1680070976516,1680070982044,14:23:02,5528,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.50 RSRQ:-9.50 TAC:616 Id:440 EARFCN:1209 PWR:-69.22 PAGING:256 CID:0xB169624 BAND:3 BW:20000
36,-73,1680071005007,1680071010844,14:23:30,5837,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.70 RSRQ:-9.40 TAC:616 Id:440 EARFCN:1209 PWR:-71.52 PAGING:256 CID:0xB169624 BAND:3 BW:20000
37,-81,1680071033509,1680071059326,14:24:19,25817,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-104.10 RSRQ:-15.50 TAC:616 Id:221 EARFCN:3716 PWR:-80.82 PAGING:256 CID:0xB41E827 BAND:8 BW:20000
38,-87,1680071062011,1680071067567,14:24:27,5556,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-93.90 RSRQ:-7.90 TAC:616 Id:266 EARFCN:1209 PWR:-78.22 PAGING:256 CID:0xB41E824 BAND:3 BW:20000
39,-75,1680071090510,1680071096443,14:24:56,5933,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-93.30 RSRQ:-9.50 TAC:616 Id:266 EARFCN:1209 PWR:-76.02 PAGING:256 CID:0xB41E824 BAND:3 BW:20000
40,-83,1680071119009,1680071124683,14:25:24,5674,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-97.00 RSRQ:-9.60 TAC:616 Id:266 EARFCN:1209 PWR:-79.62 PAGING:256 CID:0xB41E824 BAND:3 BW:20000
41,-79,1680071147496,1680071154043,14:25:54,6547,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-96.50 RSRQ:-10.00 TAC:616 Id:266 EARFCN:1209 PWR:-78.72 PAGING:256 CID:0xB41E824 BAND:3 BW:20000
42,-81,1680071175981,1680071182203,14:26:22,6222,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-96.70 RSRQ:-8.90 TAC:616 Id:266 EARFCN:1209 PWR:-80.02 PAGING:256 CID:0xB41E824 BAND:3 BW:20000
43,-81,1680071204482,1680071210364,14:26:50,5882,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-97.90 RSRQ:-7.90 TAC:616 Id:266 EARFCN:1209 PWR:-82.22 PAGING:256 CID:0xB41E824 BAND:3 BW:20000
44,-73,1680071232982,1680071238566,14:27:18,5584,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.60 RSRQ:-7.60 TAC:616 Id:266 EARFCN:1209 PWR:-68.22 PAGING:256 CID:0xB41E824 BAND:3 BW:20000
