sequence number,RSSI,send time,content
25,-63,16:11:31,$00168#00000025#-063#1680077491994#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-78.50 RSRQ:-9.00 TAC:608 Id:302 EARFCN:3716 PWR:-61.72 PAGING:256 CID:0xB51CE27 BAND:8 BW:20000?
26,-67,16:12:00,$00169#00000026#-067#1680077520496#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.60 RSRQ:-11.70 TAC:608 Id:302 EARFCN:3716 PWR:-66.12 PAGING:256 CID:0xB51CE27 BAND:8 BW:20000?
27,-75,16:12:28,$00169#00000027#-075#1680077548997#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-97.80 RSRQ:-15.00 TAC:608 Id:302 EARFCN:3716 PWR:-75.02 PAGING:256 CID:0xB51CE27 BAND:8 BW:20000?
28,-73,16:12:57,$00169#00000028#-073#1680077577500#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.10 RSRQ:-10.10 TAC:608 Id:131 EARFCN:1209 PWR:-71.22 PAGING:256 CID:0xB6B0024 BAND:3 BW:20000?
29,-71,16:13:26,$00169#00000029#-071#1680077606001#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.10 RSRQ:-18.30 TAC:608 Id:131 EARFCN:1209 PWR:-65.02 PAGING:256 CID:0xB6B0024 BAND:3 BW:20000?
30,-61,16:13:54,$00168#00000030#-061#1680077634502#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.50 RSRQ:-19.70 TAC:648 Id:72 EARFCN:1209 PWR:-64.02 PAGING:256 CID:0xB319E22 BAND:3 BW:20000?
31,-59,16:14:23,$00168#00000031#-059#1680077663002#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-75.40 RSRQ:-9.50 TAC:648 Id:166 EARFCN:1209 PWR:-58.12 PAGING:256 CID:0xB31D023 BAND:3 BW:20000?
32,-55,16:14:51,$00036#00000032#-055#1680077691501#?
33,-67,16:15:19,$00169#00000033#-067#1680077719994#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.80 RSRQ:-11.90 TAC:648 Id:419 EARFCN:3716 PWR:-64.12 PAGING:256 CID:0xB31DA27 BAND:8 BW:20000?
34,-53,16:15:48,$00168#00000034#-053#1680077748494#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-67.10 RSRQ:-9.20 TAC:648 Id:355 EARFCN:3716 PWR:-50.12 PAGING:256 CID:0xB321627 BAND:8 BW:20000?
