sequence number,RSSI,send time,content
1,-75,13:19:36,$00167#00000001#-075#1680067176135#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.20 RSRQ:-6.70 TAC:616 Id:20 EARFCN:3716 PWR:-71.72 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
2,-77,13:20:04,$00167#00000002#-077#1680067204654#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-90.70 RSRQ:-8.50 TAC:616 Id:20 EARFCN:3716 PWR:-74.42 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
3,-77,13:20:33,$00167#00000003#-077#1680067233168#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-94.10 RSRQ:-9.40 TAC:616 Id:20 EARFCN:3716 PWR:-76.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
4,-71,13:21:01,$00168#00000004#-071#1680067261684#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.00 RSRQ:-10.20 TAC:616 Id:20 EARFCN:3716 PWR:-69.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
5,-71,13:21:30,$00167#00000005#-071#1680067290200#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.60 RSRQ:-8.00 TAC:616 Id:20 EARFCN:3716 PWR:-71.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
6,-75,13:21:58,$00168#00000006#-075#1680067318717#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-90.30 RSRQ:-10.50 TAC:616 Id:20 EARFCN:3716 PWR:-72.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
7,-69,13:22:27,$00168#00000007#-069#1680067347234#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.90 RSRQ:-10.60 TAC:616 Id:20 EARFCN:3716 PWR:-68.52 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
8,-69,13:22:55,$00167#00000008#-069#1680067375751#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.20 RSRQ:-9.40 TAC:616 Id:20 EARFCN:3716 PWR:-66.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
9,-73,13:23:24,$00168#00000009#-073#1680067404267#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-92.30 RSRQ:-10.60 TAC:616 Id:20 EARFCN:3716 PWR:-73.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
10,-67,13:23:52,$00168#00000010#-067#1680067432781#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.30 RSRQ:-10.10 TAC:616 Id:20 EARFCN:3716 PWR:-69.42 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
11,-69,13:24:21,$00167#00000011#-069#1680067461297#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.70 RSRQ:-9.60 TAC:616 Id:20 EARFCN:3716 PWR:-69.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
12,-71,13:24:49,$00168#00000012#-071#1680067489814#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.70 RSRQ:-10.60 TAC:616 Id:20 EARFCN:3716 PWR:-69.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
13,-69,13:25:18,$00167#00000013#-069#1680067518330#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.40 RSRQ:-9.70 TAC:616 Id:20 EARFCN:3716 PWR:-71.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
14,-73,13:25:46,$00167#00000014#-073#1680067546846#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.90 RSRQ:-8.80 TAC:616 Id:20 EARFCN:3716 PWR:-75.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
15,-75,13:26:15,$00167#00000015#-075#1680067575362#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.10 RSRQ:-9.00 TAC:616 Id:20 EARFCN:3716 PWR:-74.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
