sequence number,RSSI,send time,content
1,85,06:36:32,$00167#00000001#0085#1680129392255#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.80 RSRQ:-7.60 TAC:616 Id:20 EARFCN:3716 PWR:-71.42 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
2,-69,06:37:00,$00167#00000002#-069#1680129420769#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.40 RSRQ:-9.40 TAC:616 Id:20 EARFCN:3716 PWR:-69.22 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
3,-71,06:37:29,$00167#00000003#-071#1680129449287#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.20 RSRQ:-9.40 TAC:616 Id:20 EARFCN:3716 PWR:-70.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
4,-71,06:37:57,$00167#00000004#-071#1680129477804#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.80 RSRQ:-9.40 TAC:616 Id:20 EARFCN:3716 PWR:-68.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
5,-69,06:38:26,$00167#00000005#-069#1680129506307#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.20 RSRQ:-9.60 TAC:616 Id:20 EARFCN:3716 PWR:-68.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
6,-71,06:38:54,$00167#00000006#-071#1680129534815#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.50 RSRQ:-9.30 TAC:616 Id:20 EARFCN:3716 PWR:-67.42 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
7,-69,06:39:23,$00167#00000007#-069#1680129563338#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.60 RSRQ:-9.20 TAC:616 Id:20 EARFCN:3716 PWR:-67.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
