sequence number,RSSI,send time,content
1,-71,16:22:15,$00167#00000001#-071#1680078135122#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.20 RSRQ:-5.80 TAC:618 Id:32 EARFCN:1209 PWR:-71.62 PAGING:256 CID:0xB2BC224 BAND:3 BW:20000?
2,-75,16:22:43,$00167#00000002#-075#1680078163631#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-94.30 RSRQ:-9.60 TAC:618 Id:32 EARFCN:1209 PWR:-76.92 PAGING:256 CID:0xB2BC224 BAND:3 BW:20000?
3,-93,16:23:12,$00169#00000003#-093#1680078192131#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-114.00 RSRQ:-15.20 TAC:618 Id:32 EARFCN:1209 PWR:-91.02 PAGING:256 CID:0xB2BC224 BAND:3 BW:20000?
4,-75,16:23:40,$00036#00000004#-075#1680078220629#?
5,-73,16:24:09,$00168#00000005#-073#1680078249131#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-99.10 RSRQ:-11.50 TAC:618 Id:70 EARFCN:3716 PWR:-79.82 PAGING:256 CID:0xB436326 BAND:8 BW:20000?
6,-71,16:24:37,$00168#00000006#-071#1680078277648#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-82.40 RSRQ:-8.40 TAC:618 Id:332 EARFCN:3716 PWR:-66.22 PAGING:256 CID:0xB373E25 BAND:8 BW:20000?
7,-69,16:25:06,$00036#00000007#-069#1680078306153#?
8,-73,16:25:34,$00171#00000008#-073#1680078334664#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-180.10 RSRQ:-105.50 TAC:646 Id:243 EARFCN:3716 PWR:-66.82 PAGING:256 CID:0xB38A625 BAND:8 BW:20000?
9,-67,16:26:03,$00170#00000009#-067#1680078363181#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-105.90 RSRQ:-30.10 TAC:646 Id:345 EARFCN:3716 PWR:-68.02 PAGING:256 CID:0xB38CE26 BAND:8 BW:20000?
10,-59,16:26:31,$00171#00000010#-059#1680078391698#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-180.10 RSRQ:-105.70 TAC:646 Id:345 EARFCN:3716 PWR:-66.62 PAGING:256 CID:0xB38CE26 BAND:8 BW:20000?
11,-71,16:27:00,$00168#00000011#-071#1680078420218#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.00 RSRQ:-9.20 TAC:646 Id:148 EARFCN:3716 PWR:-66.02 PAGING:256 CID:0xB38CE25 BAND:8 BW:20000?
12,-83,16:27:28,$00036#00000012#-083#1680078448707#?
13,-77,16:27:57,$00168#00000013#-077#1680078477227#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.90 RSRQ:-7.50 TAC:646 Id:150 EARFCN:1209 PWR:-68.62 PAGING:256 CID:0xB4D6D22 BAND:3 BW:20000?
14,-57,16:28:25,$00168#00000014#-057#1680078505743#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-82.60 RSRQ:-9.70 TAC:646 Id:150 EARFCN:1209 PWR:-65.12 PAGING:256 CID:0xB4D6D22 BAND:3 BW:20000?
15,-73,16:28:54,$00168#00000015#-073#1680078534256#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.30 RSRQ:-7.90 TAC:646 Id:150 EARFCN:1209 PWR:-73.62 PAGING:256 CID:0xB4D6D22 BAND:3 BW:20000?
16,-79,16:29:22,$00169#00000016#-079#1680078562773#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-97.70 RSRQ:-11.80 TAC:646 Id:211 EARFCN:3716 PWR:-78.12 PAGING:256 CID:0xB4C2327 BAND:8 BW:20000?
17,-57,16:29:51,$00168#00000017#-057#1680078591289#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-96.30 RSRQ:-9.90 TAC:646 Id:211 EARFCN:3716 PWR:-78.62 PAGING:256 CID:0xB4C2327 BAND:8 BW:20000?
