sequence number,RSSI,send time,content
1,-91,17:37:39,$00140#00000001#-091#1693042659543#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-115.50 RSRQ:-15.20 TAC:716 Id:127 EARFCN:1300 PWR:-92.52 PAGING:128?
2,-99,17:37:58,$00140#00000002#-099#1693042678047#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-111.10 RSRQ:-10.80 TAC:716 Id:127 EARFCN:1300 PWR:-92.52 PAGING:128?
3,-91,17:38:16,$00140#00000003#-091#1693042696550#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-108.50 RSRQ:-14.70 TAC:716 Id:127 EARFCN:1300 PWR:-86.02 PAGING:128?
4,-97,17:38:35,$00140#00000004#-097#1693042715060#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-113.80 RSRQ:-13.30 TAC:716 Id:127 EARFCN:1300 PWR:-92.72 PAGING:128?
5,-95,17:38:53,$00140#00000005#-095#1693042733571#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-118.40 RSRQ:-15.60 TAC:716 Id:127 EARFCN:1300 PWR:-95.02 PAGING:128?
6,-93,17:39:12,$00140#00000006#-093#1693042752074#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-111.60 RSRQ:-12.30 TAC:716 Id:127 EARFCN:1300 PWR:-91.52 PAGING:128?
7,-89,17:39:30,$00140#00000007#-089#1693042770589#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-107.40 RSRQ:-11.20 TAC:716 Id:127 EARFCN:1300 PWR:-88.42 PAGING:128?
8,-95,17:39:49,$00140#00000008#-095#1693042789091#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-113.60 RSRQ:-14.10 TAC:716 Id:127 EARFCN:1300 PWR:-91.72 PAGING:128?
9,-95,17:40:07,$00140#00000009#-095#1693042807595#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-114.40 RSRQ:-14.20 TAC:716 Id:127 EARFCN:1300 PWR:-92.42 PAGING:128?
10,-91,17:40:26,$00140#00000010#-091#1693042826106#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-114.20 RSRQ:-18.70 TAC:716 Id:127 EARFCN:1300 PWR:-87.72 PAGING:128?
11,-93,17:40:44,$00140#00000011#-093#1693042844617#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-111.60 RSRQ:-15.30 TAC:716 Id:127 EARFCN:1300 PWR:-88.52 PAGING:128?
12,-91,17:41:03,$00139#00000012#-091#1693042863125#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-112.80 RSRQ:-11.60 TAC:716 Id:86 EARFCN:1300 PWR:-93.42 PAGING:128?
13,-93,17:41:21,$00139#00000013#-093#1693042881636#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-112.80 RSRQ:-14.00 TAC:716 Id:86 EARFCN:1300 PWR:-91.02 PAGING:128?
14,-95,17:41:40,$00139#00000014#-095#1693042900147#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-109.20 RSRQ:-13.70 TAC:716 Id:86 EARFCN:1300 PWR:-87.72 PAGING:128?
15,-93,17:41:58,$00139#00000015#-093#1693042918651#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-114.50 RSRQ:-13.10 TAC:716 Id:86 EARFCN:1300 PWR:-93.62 PAGING:128?
16,-97,17:42:17,$00139#00000016#-097#1693042937167#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-120.70 RSRQ:-18.90 TAC:716 Id:86 EARFCN:1300 PWR:-94.02 PAGING:128?
17,-93,17:42:35,$00140#00000017#-093#1693042955674#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-110.70 RSRQ:-14.90 TAC:716 Id:127 EARFCN:1300 PWR:-88.02 PAGING:128?
18,-95,17:42:54,$00140#00000018#-095#1693042974177#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-111.50 RSRQ:-11.10 TAC:716 Id:127 EARFCN:1300 PWR:-92.62 PAGING:128?
19,-95,17:43:12,$00140#00000019#-095#1693042992680#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-114.00 RSRQ:-11.80 TAC:716 Id:127 EARFCN:1300 PWR:-94.42 PAGING:128?
20,-89,17:43:31,$00140#00000020#-089#1693043011184#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-112.40 RSRQ:-11.80 TAC:716 Id:127 EARFCN:1300 PWR:-92.82 PAGING:128?
21,-93,17:43:49,$00139#00000021#-093#1693043029687#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-111.90 RSRQ:-9.80 TAC:716 Id:127 EARFCN:1300 PWR:-94.32 PAGING:128?
22,-95,17:44:08,$00140#00000022#-095#1693043048190#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-114.80 RSRQ:-15.10 TAC:716 Id:127 EARFCN:1300 PWR:-91.92 PAGING:128?
23,-99,17:44:26,$00140#00000023#-099#1693043066693#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-119.80 RSRQ:-18.60 TAC:716 Id:127 EARFCN:1300 PWR:-93.42 PAGING:128?
24,-91,17:44:45,$00140#00000024#-091#1693043085204#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-109.40 RSRQ:-14.00 TAC:716 Id:127 EARFCN:1300 PWR:-87.62 PAGING:128?
25,-93,17:45:03,$00140#00000025#-093#1693043103707#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-111.40 RSRQ:-13.40 TAC:716 Id:127 EARFCN:1300 PWR:-90.22 PAGING:128?
26,-93,17:45:22,$00140#00000026#-093#1693043122211#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-112.00 RSRQ:-12.50 TAC:716 Id:127 EARFCN:1300 PWR:-91.72 PAGING:128?
27,-93,17:45:40,$00140#00000027#-093#1693043140715#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-114.10 RSRQ:-12.50 TAC:716 Id:127 EARFCN:1300 PWR:-93.82 PAGING:128?
28,-93,17:45:59,$00139#00000028#-093#1693043159218#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-111.60 RSRQ:-8.40 TAC:716 Id:127 EARFCN:1300 PWR:-95.42 PAGING:128?
29,-99,17:46:17,$00140#00000029#-099#1693043177721#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-113.00 RSRQ:-15.30 TAC:716 Id:127 EARFCN:1300 PWR:-89.92 PAGING:128?
30,-93,17:46:36,$00140#00000030#-093#1693043196226#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-111.60 RSRQ:-11.90 TAC:716 Id:127 EARFCN:1300 PWR:-91.92 PAGING:128?
31,-93,17:46:54,$00140#00000031#-093#1693043214734#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-110.30 RSRQ:-10.30 TAC:716 Id:127 EARFCN:1300 PWR:-92.22 PAGING:128?
32,-95,17:47:13,$00140#00000032#-095#1693043233239#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-118.40 RSRQ:-17.60 TAC:716 Id:127 EARFCN:1300 PWR:-93.02 PAGING:128?
33,-93,17:47:31,$00140#00000033#-093#1693043251751#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-116.70 RSRQ:-13.00 TAC:716 Id:127 EARFCN:1300 PWR:-95.92 PAGING:128?
34,-97,17:47:50,$00140#00000034#-097#1693043270253#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-119.10 RSRQ:-15.70 TAC:716 Id:127 EARFCN:1300 PWR:-95.62 PAGING:128?
35,-93,17:48:08,$00140#00000035#-093#1693043288757#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-112.30 RSRQ:-10.60 TAC:716 Id:127 EARFCN:1300 PWR:-93.92 PAGING:128?
36,-97,17:48:27,$00140#00000036#-097#1693043307261#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-113.00 RSRQ:-10.80 TAC:716 Id:127 EARFCN:1300 PWR:-94.42 PAGING:128?
37,-95,17:48:45,$00140#00000037#-095#1693043325764#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-113.40 RSRQ:-15.40 TAC:716 Id:127 EARFCN:1300 PWR:-90.22 PAGING:128?
38,-91,17:49:04,$00140#00000038#-091#1693043344269#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-117.60 RSRQ:-16.10 TAC:716 Id:127 EARFCN:1300 PWR:-93.72 PAGING:128?
39,-95,17:49:22,$00139#00000039#-095#1693043362769#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-104.80 RSRQ:-7.10 TAC:716 Id:127 EARFCN:1300 PWR:-89.92 PAGING:128?
40,-85,17:49:41,$00140#00000040#-085#1693043381273#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-109.30 RSRQ:-11.60 TAC:716 Id:127 EARFCN:1300 PWR:-89.92 PAGING:128?
41,-89,17:49:59,$00140#00000041#-089#1693043399777#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-105.80 RSRQ:-13.40 TAC:716 Id:127 EARFCN:1300 PWR:-84.62 PAGING:128?
42,-93,17:50:18,$00140#00000042#-093#1693043418281#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-113.30 RSRQ:-16.30 TAC:716 Id:127 EARFCN:1300 PWR:-89.22 PAGING:128?
43,-93,17:50:36,$00140#00000043#-093#1693043436785#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-111.70 RSRQ:-11.10 TAC:716 Id:127 EARFCN:1300 PWR:-92.82 PAGING:128?
44,-91,17:50:55,$00140#00000044#-091#1693043455279#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-110.20 RSRQ:-16.00 TAC:716 Id:127 EARFCN:1300 PWR:-86.42 PAGING:128?
45,-91,17:51:13,$00140#00000045#-091#1693043473783#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-107.80 RSRQ:-13.90 TAC:716 Id:127 EARFCN:1300 PWR:-86.12 PAGING:128?
46,-87,17:51:32,$00140#00000046#-087#1693043492287#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-112.60 RSRQ:-11.50 TAC:716 Id:127 EARFCN:1300 PWR:-93.32 PAGING:128?
47,-95,17:51:50,$00140#00000047#-095#1693043510791#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-112.80 RSRQ:-15.10 TAC:716 Id:127 EARFCN:1300 PWR:-89.92 PAGING:128?
48,-95,17:52:09,$00140#00000048#-095#1693043529288#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-112.30 RSRQ:-15.60 TAC:716 Id:127 EARFCN:1300 PWR:-88.92 PAGING:128?
49,-89,17:52:27,$00139#00000049#-089#1693043547788#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-107.80 RSRQ:-8.50 TAC:716 Id:127 EARFCN:1300 PWR:-91.52 PAGING:128?
50,-95,17:52:46,$00140#00000050#-095#1693043566292#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-117.90 RSRQ:-20.20 TAC:716 Id:127 EARFCN:1300 PWR:-89.92 PAGING:128?
51,-93,17:53:04,$00140#00000051#-093#1693043584796#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-113.60 RSRQ:-12.90 TAC:716 Id:127 EARFCN:1300 PWR:-92.92 PAGING:128?
52,-97,17:53:23,$00140#00000052#-097#1693043603300#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-113.50 RSRQ:-13.80 TAC:716 Id:127 EARFCN:1300 PWR:-91.92 PAGING:128?
53,-95,17:53:41,$00140#00000053#-095#1693043621803#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-115.90 RSRQ:-16.60 TAC:716 Id:127 EARFCN:1300 PWR:-91.52 PAGING:128?
54,-89,17:54:00,$00140#00000054#-089#1693043640308#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-118.30 RSRQ:-15.00 TAC:716 Id:127 EARFCN:1300 PWR:-95.52 PAGING:128?
55,-97,17:54:18,$00140#00000055#-097#1693043658811#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-116.50 RSRQ:-16.70 TAC:716 Id:127 EARFCN:1300 PWR:-92.02 PAGING:128?
56,-97,17:54:37,$00140#00000056#-097#1693043677314#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-122.20 RSRQ:-17.60 TAC:716 Id:127 EARFCN:1300 PWR:-96.82 PAGING:128?
57,-89,17:54:55,$00140#00000057#-089#1693043695817#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-112.90 RSRQ:-16.70 TAC:716 Id:127 EARFCN:1300 PWR:-88.42 PAGING:128?
58,-91,17:55:14,$00140#00000058#-091#1693043714321#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-115.80 RSRQ:-14.50 TAC:716 Id:127 EARFCN:1300 PWR:-93.52 PAGING:128?
59,-93,17:55:32,$00140#00000059#-093#1693043732818#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-115.70 RSRQ:-16.10 TAC:716 Id:127 EARFCN:1300 PWR:-91.82 PAGING:128?
60,-97,17:55:51,$00140#00000060#-097#1693043751323#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-114.40 RSRQ:-14.70 TAC:716 Id:127 EARFCN:1300 PWR:-91.92 PAGING:128?
61,-93,17:56:09,$00140#00000061#-093#1693043769826#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-113.40 RSRQ:-13.30 TAC:716 Id:127 EARFCN:1300 PWR:-92.32 PAGING:128?
62,-91,17:56:28,$00140#00000062#-091#1693043788330#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-110.90 RSRQ:-18.20 TAC:716 Id:127 EARFCN:1300 PWR:-84.92 PAGING:128?
63,-91,17:56:46,$00140#00000063#-091#1693043806844#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-112.60 RSRQ:-15.80 TAC:716 Id:127 EARFCN:1300 PWR:-89.02 PAGING:128?
64,-93,17:57:05,$00140#00000064#-093#1693043825348#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-114.20 RSRQ:-14.60 TAC:716 Id:127 EARFCN:1300 PWR:-91.82 PAGING:128?
65,-93,17:57:23,$00140#00000065#-093#1693043843851#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-116.20 RSRQ:-16.90 TAC:716 Id:127 EARFCN:1300 PWR:-91.52 PAGING:128?
66,-93,17:57:42,$00139#00000066#-093#1693043862358#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-118.30 RSRQ:-19.00 TAC:716 Id:86 EARFCN:1300 PWR:-91.52 PAGING:128?
67,-93,17:58:00,$00140#00000067#-093#1693043880870#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-113.00 RSRQ:-11.60 TAC:716 Id:127 EARFCN:1300 PWR:-93.62 PAGING:128?
68,-93,17:58:19,$00140#00000068#-093#1693043899372#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-115.20 RSRQ:-18.40 TAC:716 Id:127 EARFCN:1300 PWR:-89.02 PAGING:128?
69,-93,17:58:37,$00139#00000069#-093#1693043917877#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-115.20 RSRQ:-16.30 TAC:716 Id:86 EARFCN:1300 PWR:-91.12 PAGING:128?
70,-91,17:58:56,$00140#00000070#-091#1693043936384#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-110.50 RSRQ:-14.80 TAC:716 Id:127 EARFCN:1300 PWR:-87.92 PAGING:128?
71,-93,17:59:14,$00140#00000071#-093#1693043954887#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-111.50 RSRQ:-15.60 TAC:716 Id:127 EARFCN:1300 PWR:-88.12 PAGING:128?
72,-95,17:59:33,$00140#00000072#-095#1693043973391#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-120.40 RSRQ:-18.90 TAC:716 Id:127 EARFCN:1300 PWR:-93.72 PAGING:128?
73,-89,17:59:51,$00140#00000073#-089#1693043991895#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-111.00 RSRQ:-13.30 TAC:716 Id:127 EARFCN:1300 PWR:-89.92 PAGING:128?
74,-93,18:00:10,$00140#00000074#-093#1693044010394#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-111.60 RSRQ:-12.50 TAC:716 Id:127 EARFCN:1300 PWR:-91.32 PAGING:128?
75,-93,18:00:28,$00140#00000075#-093#1693044028898#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-115.60 RSRQ:-18.40 TAC:716 Id:127 EARFCN:1300 PWR:-89.42 PAGING:128?
76,-89,18:00:47,$00140#00000076#-089#1693044047401#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-113.90 RSRQ:-15.10 TAC:716 Id:127 EARFCN:1300 PWR:-91.02 PAGING:128?
77,-87,18:01:05,$00140#00000077#-087#1693044065904#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-117.10 RSRQ:-20.10 TAC:716 Id:127 EARFCN:1300 PWR:-89.22 PAGING:128?
78,-93,18:01:24,$00140#00000078#-093#1693044084408#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-120.60 RSRQ:-17.00 TAC:716 Id:127 EARFCN:1300 PWR:-95.82 PAGING:128?
79,-93,18:01:42,$00139#00000079#-093#1693044102919#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-117.90 RSRQ:-19.80 TAC:716 Id:86 EARFCN:1300 PWR:-90.32 PAGING:128?
80,-89,18:02:01,$00140#00000080#-089#1693044121426#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-114.10 RSRQ:-13.10 TAC:716 Id:127 EARFCN:1300 PWR:-93.22 PAGING:128?
81,-91,18:02:19,$00140#00000081#-091#1693044139936#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-117.40 RSRQ:-19.80 TAC:716 Id:127 EARFCN:1300 PWR:-89.82 PAGING:128?
82,-81,18:02:38,$00140#00000082#-081#1693044158447#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-115.20 RSRQ:-17.60 TAC:716 Id:127 EARFCN:1300 PWR:-89.82 PAGING:128?
83,-97,18:02:56,$00140#00000083#-097#1693044176958#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-115.80 RSRQ:-15.70 TAC:716 Id:127 EARFCN:1300 PWR:-92.32 PAGING:128?
84,-89,18:03:15,$00140#00000084#-089#1693044195461#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-125.20 RSRQ:-24.60 TAC:716 Id:127 EARFCN:1300 PWR:-92.82 PAGING:128?
85,-93,18:03:33,$00139#00000085#-093#1693044213950#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-117.50 RSRQ:-18.50 TAC:716 Id:86 EARFCN:1300 PWR:-91.22 PAGING:128?
86,-95,18:03:52,$00139#00000086#-095#1693044232439#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-112.40 RSRQ:-13.20 TAC:716 Id:86 EARFCN:1300 PWR:-91.42 PAGING:128?
87,-97,18:04:10,$00139#00000087#-097#1693044250921#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-109.90 RSRQ:-10.10 TAC:716 Id:86 EARFCN:1300 PWR:-92.02 PAGING:128?
88,-93,18:04:29,$00140#00000088#-093#1693044269412#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-118.20 RSRQ:-18.60 TAC:716 Id:127 EARFCN:1300 PWR:-91.82 PAGING:128?
89,-95,18:04:47,$00140#00000089#-095#1693044287903#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-118.20 RSRQ:-17.20 TAC:716 Id:127 EARFCN:1300 PWR:-93.22 PAGING:128?
90,-93,18:05:06,$00140#00000090#-093#1693044306393#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-113.20 RSRQ:-11.10 TAC:716 Id:127 EARFCN:1300 PWR:-94.32 PAGING:128?
91,-91,18:05:24,$00140#00000091#-091#1693044324884#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-116.40 RSRQ:-18.00 TAC:716 Id:127 EARFCN:1300 PWR:-90.62 PAGING:128?
92,-95,18:05:43,$00140#00000092#-095#1693044343374#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-119.60 RSRQ:-16.00 TAC:716 Id:127 EARFCN:1300 PWR:-95.82 PAGING:128?
93,-91,18:06:01,$00140#00000093#-091#1693044361873#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-112.20 RSRQ:-11.10 TAC:716 Id:127 EARFCN:1300 PWR:-93.32 PAGING:128?
94,-97,18:06:20,$00140#00000094#-097#1693044380358#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-116.50 RSRQ:-16.40 TAC:716 Id:127 EARFCN:1300 PWR:-92.32 PAGING:128?
95,-91,18:06:38,$00140#00000095#-091#1693044398842#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-110.30 RSRQ:-12.40 TAC:716 Id:127 EARFCN:1300 PWR:-90.12 PAGING:128?
96,-93,18:06:57,$00140#00000096#-093#1693044417335#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-109.20 RSRQ:-14.50 TAC:716 Id:127 EARFCN:1300 PWR:-86.92 PAGING:128?
97,-91,18:07:15,$00140#00000097#-091#1693044435832#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-119.20 RSRQ:-16.50 TAC:716 Id:127 EARFCN:1300 PWR:-94.92 PAGING:128?
98,-91,18:07:34,$00140#00000098#-091#1693044454327#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-116.40 RSRQ:-12.10 TAC:716 Id:127 EARFCN:1300 PWR:-96.52 PAGING:128?
99,-97,18:07:52,$00140#00000099#-097#1693044472820#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-110.30 RSRQ:-10.30 TAC:716 Id:127 EARFCN:1300 PWR:-92.22 PAGING:128?
100,-93,18:08:11,$00140#00000100#-093#1693044491311#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-116.40 RSRQ:-14.10 TAC:716 Id:127 EARFCN:1300 PWR:-94.52 PAGING:128?
101,-89,18:08:29,$00140#00000101#-089#1693044509797#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-109.30 RSRQ:-11.00 TAC:716 Id:127 EARFCN:1300 PWR:-90.52 PAGING:128?
102,-91,18:08:48,$00140#00000102#-091#1693044528287#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-113.00 RSRQ:-15.30 TAC:716 Id:127 EARFCN:1300 PWR:-89.92 PAGING:128?
103,-91,18:09:06,$00140#00000103#-091#1693044546784#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-113.90 RSRQ:-14.40 TAC:716 Id:127 EARFCN:1300 PWR:-91.72 PAGING:128?
104,-95,18:09:25,$00140#00000104#-095#1693044565288#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-116.30 RSRQ:-13.40 TAC:716 Id:127 EARFCN:1300 PWR:-95.12 PAGING:128?
105,-89,18:09:43,$00140#00000105#-089#1693044583792#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-111.70 RSRQ:-11.10 TAC:716 Id:127 EARFCN:1300 PWR:-92.82 PAGING:128?
