sequence number,RSSI,send time,content
1,-59,18:22:33,$00169#00000001#-059#1678616553748#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-78.40 RSRQ:-12.60 TAC:678 Id:388 EARFCN:1209 PWR:-58.02 PAGING:256 CID:0xB36BC24 BAND:3 BW:20000?
2,-61,18:23:02,$00169#00000002#-061#1678616582266#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-78.00 RSRQ:-11.10 TAC:678 Id:388 EARFCN:1209 PWR:-59.12 PAGING:256 CID:0xB36BC24 BAND:3 BW:20000?
3,-59,18:23:30,$00169#00000003#-059#1678616610782#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-78.50 RSRQ:-12.10 TAC:678 Id:388 EARFCN:1209 PWR:-58.62 PAGING:256 CID:0xB36BC24 BAND:3 BW:20000?
4,-61,18:23:59,$00169#00000004#-061#1678616639299#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-80.00 RSRQ:-12.30 TAC:678 Id:388 EARFCN:1209 PWR:-59.92 PAGING:256 CID:0xB36BC24 BAND:3 BW:20000?
5,-59,18:24:27,$00169#00000005#-059#1678616667816#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-77.70 RSRQ:-12.10 TAC:678 Id:388 EARFCN:1209 PWR:-57.82 PAGING:256 CID:0xB36BC24 BAND:3 BW:20000?
6,-59,16:50:01,$00169#00000006#-059#1679734201599#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-79.30 RSRQ:-12.80 TAC:678 Id:388 EARFCN:1209 PWR:-58.72 PAGING:256 CID:0xB36BC24 BAND:3 BW:20000?
7,-59,16:50:30,$00169#00000007#-059#1679734230104#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-78.30 RSRQ:-13.00 TAC:678 Id:388 EARFCN:1209 PWR:-57.52 PAGING:256 CID:0xB36BC24 BAND:3 BW:20000?
8,-59,16:50:58,$00169#00000008#-059#1679734258614#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.90 RSRQ:-19.30 TAC:678 Id:388 EARFCN:1209 PWR:-57.82 PAGING:256 CID:0xB36BC24 BAND:3 BW:20000?
9,-59,16:51:27,$00169#00000009#-059#1679734287119#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-76.50 RSRQ:-11.20 TAC:678 Id:388 EARFCN:1209 PWR:-57.52 PAGING:256 CID:0xB36BC24 BAND:3 BW:20000?
10,-59,16:51:55,$00169#00000010#-059#1679734315618#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-78.90 RSRQ:-13.20 TAC:678 Id:388 EARFCN:1209 PWR:-57.92 PAGING:256 CID:0xB36BC24 BAND:3 BW:20000?
11,-57,16:52:24,$00169#00000011#-057#1679734344115#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-74.30 RSRQ:-12.00 TAC:678 Id:379 EARFCN:3716 PWR:-54.52 PAGING:256 CID:0xB69CA26 BAND:8 BW:20000?
12,-55,16:52:52,$00169#00000012#-055#1679734372614#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-73.80 RSRQ:-12.00 TAC:678 Id:379 EARFCN:3716 PWR:-54.02 PAGING:256 CID:0xB69CA26 BAND:8 BW:20000?
13,-55,16:53:21,$00169#00000013#-055#1679734401118#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-73.90 RSRQ:-12.10 TAC:678 Id:379 EARFCN:3716 PWR:-54.02 PAGING:256 CID:0xB69CA26 BAND:8 BW:20000?
14,-55,16:53:49,$00169#00000014#-055#1679734429614#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-75.80 RSRQ:-13.50 TAC:678 Id:379 EARFCN:3716 PWR:-54.52 PAGING:256 CID:0xB69CA26 BAND:8 BW:20000?
15,-55,16:54:18,$00169#00000015#-055#1679734458109#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-75.00 RSRQ:-12.50 TAC:678 Id:379 EARFCN:3716 PWR:-54.72 PAGING:256 CID:0xB69CA26 BAND:8 BW:20000?
16,-55,16:54:46,$00169#00000016#-055#1679734486611#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-74.60 RSRQ:-12.20 TAC:678 Id:379 EARFCN:3716 PWR:-54.62 PAGING:256 CID:0xB69CA26 BAND:8 BW:20000?
17,-55,16:55:15,$00169#00000017#-055#1679734515113#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-76.10 RSRQ:-13.40 TAC:678 Id:379 EARFCN:3716 PWR:-54.92 PAGING:256 CID:0xB69CA26 BAND:8 BW:20000?
18,-57,16:55:43,$00169#00000018#-057#1679734543613#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-80.90 RSRQ:-17.30 TAC:678 Id:379 EARFCN:3716 PWR:-55.82 PAGING:256 CID:0xB69CA26 BAND:8 BW:20000?
19,-59,16:56:12,$00169#00000019#-059#1679734572118#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-78.60 RSRQ:-12.80 TAC:616 Id:381 EARFCN:1209 PWR:-58.02 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
20,-59,16:56:40,$00169#00000020#-059#1679734600619#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-79.10 RSRQ:-13.40 TAC:616 Id:381 EARFCN:1209 PWR:-57.92 PAGING:256 CID:0xB187623 BAND:3 BW:20000?
