sequence number,RSSI,send time,content
1,-75,16:52:32,$00167#00000001#-075#1693039952844#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.50 RSRQ:-8.90 TAC:616 Id:20 EARFCN:3716 PWR:-69.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
2,-77,16:52:47,$00167#00000002#-077#1693039967348#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.60 RSRQ:-9.40 TAC:616 Id:20 EARFCN:3716 PWR:-70.42 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
3,-77,16:53:01,$00167#00000003#-077#1693039981851#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.00 RSRQ:-6.30 TAC:616 Id:20 EARFCN:3716 PWR:-73.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
4,-77,16:53:16,$00167#00000004#-077#1693039996355#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.40 RSRQ:-7.00 TAC:616 Id:20 EARFCN:3716 PWR:-76.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
5,-71,16:53:30,$00167#00000005#-071#1693040010862#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.40 RSRQ:-9.00 TAC:616 Id:20 EARFCN:3716 PWR:-69.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
6,-79,16:53:45,$00167#00000006#-079#1693040025364#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.80 RSRQ:-8.00 TAC:616 Id:20 EARFCN:3716 PWR:-73.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
7,-73,16:53:59,$00167#00000007#-073#1693040039867#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.60 RSRQ:-9.60 TAC:616 Id:20 EARFCN:3716 PWR:-74.22 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
8,-77,16:54:14,$00167#00000008#-077#1693040054374#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-92.80 RSRQ:-7.70 TAC:616 Id:20 EARFCN:3716 PWR:-77.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
9,-77,16:54:28,$00036#00000009#-077#1693040068862#?
10,-77,16:54:43,$00167#00000010#-077#1693040083365#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-90.80 RSRQ:-7.40 TAC:616 Id:20 EARFCN:3716 PWR:-75.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
11,-73,16:54:57,$00167#00000011#-073#1693040097867#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.90 RSRQ:-9.00 TAC:616 Id:20 EARFCN:3716 PWR:-70.12 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
