sequence number,RSSI,send time,content
1,85,16:40:27,$00167#00000001#0085#1693039227169#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.40 RSRQ:-6.30 TAC:616 Id:20 EARFCN:3716 PWR:-71.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
2,-77,16:40:55,$00167#00000002#-077#1693039255687#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.00 RSRQ:-8.90 TAC:616 Id:20 EARFCN:3716 PWR:-71.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
3,-73,16:41:24,$00167#00000003#-073#1693039284203#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.00 RSRQ:-8.90 TAC:616 Id:20 EARFCN:3716 PWR:-70.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
4,-73,16:41:52,$00167#00000004#-073#1693039312721#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.60 RSRQ:-8.80 TAC:616 Id:20 EARFCN:3716 PWR:-69.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
5,-71,16:42:21,$00167#00000005#-071#1693039341238#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.00 RSRQ:-8.80 TAC:616 Id:20 EARFCN:3716 PWR:-71.42 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
6,-75,16:42:49,$00167#00000006#-075#1693039369755#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.30 RSRQ:-8.70 TAC:616 Id:20 EARFCN:3716 PWR:-72.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
