sequence number,RSSI,send time,content
1,-57,16:26:26,$00169#00000001#-057#1679732786765#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-79.10 RSRQ:-14.60 TAC:778 Id:263 EARFCN:1300 PWR:-56.72 PAGING:128 CID:0xB69CA6A BAND:3 BW:20000?
2,-55,16:26:55,$00036#00000002#-055#1679732815273#?
3,-55,16:27:23,$00169#00000003#-055#1679732843792#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-79.20 RSRQ:-16.90 TAC:778 Id:263 EARFCN:1300 PWR:-54.52 PAGING:128 CID:0xB69CA6A BAND:3 BW:20000?
4,-57,16:27:52,$00169#00000004#-057#1679732872297#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-77.30 RSRQ:-15.70 TAC:778 Id:263 EARFCN:1300 PWR:-53.82 PAGING:128 CID:0xB69CA6A BAND:3 BW:20000?
