sequence number,RSSI,send time,content
1,-71,06:26:34,$00167#00000001#-071#1680128794242#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.50 RSRQ:-7.80 TAC:616 Id:20 EARFCN:3716 PWR:-68.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
2,-73,06:27:02,$00168#00000002#-073#1680128822758#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.30 RSRQ:-10.10 TAC:616 Id:20 EARFCN:3716 PWR:-71.42 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
3,-73,06:27:31,$00168#00000003#-073#1680128851262#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.70 RSRQ:-10.10 TAC:616 Id:20 EARFCN:3716 PWR:-69.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
4,-73,06:27:59,$00167#00000004#-073#1680128879766#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.80 RSRQ:-9.70 TAC:616 Id:20 EARFCN:3716 PWR:-72.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
5,-73,06:28:28,$00167#00000005#-073#1680128908270#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.90 RSRQ:-9.30 TAC:616 Id:20 EARFCN:3716 PWR:-71.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
6,-71,06:28:56,$00168#00000006#-071#1680128936784#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.10 RSRQ:-10.00 TAC:616 Id:20 EARFCN:3716 PWR:-69.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
7,-73,06:29:25,$00167#00000007#-073#1680128965299#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.50 RSRQ:-9.10 TAC:616 Id:20 EARFCN:3716 PWR:-71.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
8,-73,06:29:53,$00167#00000008#-073#1680128993816#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.40 RSRQ:-9.80 TAC:616 Id:20 EARFCN:3716 PWR:-69.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
9,-69,06:30:22,$00167#00000009#-069#1680129022328#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.70 RSRQ:-9.00 TAC:616 Id:20 EARFCN:3716 PWR:-66.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
