sequence number,RSSI,send time,content
1,-89,14:06:47,$00169#00000001#-089#1680070007552#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-103.80 RSRQ:-8.80 TAC:616 Id:440 EARFCN:1209 PWR:-87.22 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
2,-87,14:07:16,$00169#00000002#-087#1680070036049#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-103.10 RSRQ:-7.00 TAC:616 Id:440 EARFCN:1209 PWR:-88.32 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
3,-87,14:07:44,$00169#00000003#-087#1680070064547#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-102.20 RSRQ:-7.90 TAC:616 Id:440 EARFCN:1209 PWR:-86.52 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
4,-87,14:08:13,$00169#00000004#-087#1680070093044#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-101.60 RSRQ:-6.60 TAC:616 Id:440 EARFCN:1209 PWR:-87.22 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
5,-87,14:08:41,$00169#00000005#-087#1680070121541#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-101.20 RSRQ:-7.00 TAC:616 Id:440 EARFCN:1209 PWR:-86.42 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
6,-87,14:09:10,$00169#00000006#-087#1680070150039#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-102.40 RSRQ:-8.50 TAC:616 Id:440 EARFCN:1209 PWR:-86.12 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
7,-91,14:09:38,$00169#00000007#-091#1680070178536#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-103.50 RSRQ:-9.60 TAC:616 Id:440 EARFCN:1209 PWR:-86.12 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
8,-89,14:10:07,$00170#00000008#-089#1680070207036#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-106.20 RSRQ:-10.20 TAC:616 Id:440 EARFCN:1209 PWR:-88.22 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
9,-91,14:10:35,$00169#00000009#-091#1680070235534#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-106.10 RSRQ:-9.40 TAC:616 Id:440 EARFCN:1209 PWR:-88.92 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
10,-89,14:11:04,$00169#00000010#-089#1680070264033#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-105.00 RSRQ:-8.30 TAC:616 Id:440 EARFCN:1209 PWR:-88.92 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
11,-91,14:11:32,$00169#00000011#-091#1680070292531#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-105.80 RSRQ:-8.00 TAC:616 Id:440 EARFCN:1209 PWR:-90.02 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
12,-89,14:12:01,$00169#00000012#-089#1680070321028#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-105.30 RSRQ:-9.00 TAC:616 Id:440 EARFCN:1209 PWR:-88.52 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
13,-93,14:12:29,$00169#00000013#-093#1680070349526#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-103.70 RSRQ:-8.10 TAC:616 Id:440 EARFCN:1209 PWR:-87.82 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
14,-89,14:12:58,$00169#00000014#-089#1680070378021#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-103.10 RSRQ:-7.00 TAC:616 Id:440 EARFCN:1209 PWR:-88.32 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
15,-85,14:13:26,$00168#00000015#-085#1680070406518#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-97.50 RSRQ:-5.20 TAC:616 Id:440 EARFCN:1209 PWR:-84.52 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
16,-93,14:13:55,$00170#00000016#-093#1680070435016#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-115.60 RSRQ:-14.30 TAC:616 Id:440 EARFCN:1209 PWR:-93.52 PAGING:256 CID:0xB169624 BAND:3 BW:20000?
