sequence number,RSSI,send time,content
1,-69,16:34:43,$00167#00000001#-069#1680078883437#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.10 RSRQ:-6.90 TAC:646 Id:73 EARFCN:3716 PWR:-71.42 PAGING:256 CID:0xB3FEA25 BAND:8 BW:20000?
2,-77,16:35:11,$00168#00000002#-077#1680078911929#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-98.30 RSRQ:-14.80 TAC:646 Id:73 EARFCN:3716 PWR:-75.72 PAGING:256 CID:0xB3FEA25 BAND:8 BW:20000?
3,-63,16:35:40,$00168#00000003#-063#1680078940440#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-79.10 RSRQ:-10.90 TAC:646 Id:89 EARFCN:3716 PWR:-60.42 PAGING:256 CID:0xB3FEA27 BAND:8 BW:20000?
4,-71,16:36:08,$00167#00000004#-071#1680078968947#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-82.40 RSRQ:-6.50 TAC:646 Id:89 EARFCN:3716 PWR:-68.12 PAGING:256 CID:0xB3FEA27 BAND:8 BW:20000?
5,-51,16:36:37,$00169#00000005#-051#1680078997456#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-94.60 RSRQ:-33.70 TAC:616 Id:374 EARFCN:1209 PWR:-53.12 PAGING:256 CID:0xB517E24 BAND:3 BW:20000?
6,-65,16:37:05,$00168#00000006#-065#1680079025955#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-80.50 RSRQ:-7.90 TAC:616 Id:374 EARFCN:1209 PWR:-64.82 PAGING:256 CID:0xB517E24 BAND:3 BW:20000?
7,-69,16:37:34,$00036#00000007#-069#1680079054459#?
8,-71,16:38:02,$00168#00000008#-071#1680079082954#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-92.00 RSRQ:-7.00 TAC:616 Id:374 EARFCN:1209 PWR:-77.22 PAGING:256 CID:0xB517E24 BAND:3 BW:20000?
9,-79,16:38:31,$00170#00000009#-079#1680079111457#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-100.80 RSRQ:-17.30 TAC:616 Id:374 EARFCN:1209 PWR:-75.72 PAGING:256 CID:0xB517E24 BAND:3 BW:20000?
10,-77,16:38:59,$00169#00000010#-077#1680079139964#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-96.50 RSRQ:-16.90 TAC:616 Id:374 EARFCN:1209 PWR:-71.82 PAGING:256 CID:0xB517E24 BAND:3 BW:20000?
11,-57,16:39:28,$00167#00000011#-057#1680079168473#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-71.70 RSRQ:-9.40 TAC:616 Id:53 EARFCN:3716 PWR:-54.52 PAGING:256 CID:0xB401C25 BAND:8 BW:20000?
12,-55,16:39:56,$00169#00000012#-055#1680079196965#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-77.30 RSRQ:-13.40 TAC:616 Id:256 EARFCN:3716 PWR:-56.12 PAGING:256 CID:0xB401C26 BAND:8 BW:20000?
13,-65,16:40:25,$00168#00000013#-065#1680079225472#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-81.40 RSRQ:-9.80 TAC:616 Id:256 EARFCN:3716 PWR:-63.82 PAGING:256 CID:0xB401C26 BAND:8 BW:20000?
14,-79,16:40:53,$00169#00000014#-079#1680079253981#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-98.90 RSRQ:-12.80 TAC:616 Id:256 EARFCN:3716 PWR:-78.32 PAGING:256 CID:0xB401C26 BAND:8 BW:20000?
15,-67,16:41:22,$00169#00000015#-067#1680079282489#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-95.40 RSRQ:-25.60 TAC:616 Id:256 EARFCN:3716 PWR:-62.02 PAGING:256 CID:0xB401C26 BAND:8 BW:20000?
