sequence number,RSSI,send time,content
26,-75,17:08:42,$00167#00000026#-075#1693040922806#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.90 RSRQ:-9.40 TAC:616 Id:20 EARFCN:3716 PWR:-71.72 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
27,-73,17:09:01,$00167#00000027#-073#1693040941311#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.90 RSRQ:-7.20 TAC:616 Id:20 EARFCN:3716 PWR:-71.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
28,-75,17:09:19,$00168#00000028#-075#1693040959810#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-94.20 RSRQ:-10.10 TAC:616 Id:20 EARFCN:3716 PWR:-76.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
29,-75,17:09:38,$00167#00000029#-075#1693040978312#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.50 RSRQ:-9.90 TAC:616 Id:20 EARFCN:3716 PWR:-73.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
30,-75,17:09:56,$00167#00000030#-075#1693040996815#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.10 RSRQ:-9.20 TAC:616 Id:20 EARFCN:3716 PWR:-72.12 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
31,-81,17:10:15,$00167#00000031#-081#1693041015318#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-94.50 RSRQ:-9.60 TAC:616 Id:20 EARFCN:3716 PWR:-77.12 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
32,-71,17:10:33,$00167#00000032#-071#1693041033814#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.90 RSRQ:-8.80 TAC:616 Id:20 EARFCN:3716 PWR:-71.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
33,-73,17:10:52,$00167#00000033#-073#1693041052303#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.20 RSRQ:-9.30 TAC:616 Id:20 EARFCN:3716 PWR:-71.12 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
34,-75,17:11:10,$00167#00000034#-075#1693041070784#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.50 RSRQ:-7.10 TAC:616 Id:20 EARFCN:3716 PWR:-73.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
35,-75,17:11:29,$00167#00000035#-075#1693041089272#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.50 RSRQ:-9.60 TAC:616 Id:20 EARFCN:3716 PWR:-72.12 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
