sequence number,RSSI,send time,content
1,-53,16:21:33,$00169#00000001#-053#1679732493998#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-71.20 RSRQ:-12.10 TAC:678 Id:390 EARFCN:1209 PWR:-51.32 PAGING:256 CID:0xB6DC624 BAND:3 BW:20000?
2,-53,16:22:02,$00169#00000002#-053#1679732522496#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.20 RSRQ:-10.40 TAC:678 Id:390 EARFCN:1209 PWR:-52.02 PAGING:256 CID:0xB6DC624 BAND:3 BW:20000?
3,-53,16:22:30,$00169#00000003#-053#1679732550991#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-71.30 RSRQ:-11.50 TAC:678 Id:390 EARFCN:1209 PWR:-52.02 PAGING:256 CID:0xB6DC624 BAND:3 BW:20000?
4,-53,16:22:59,$00169#00000004#-053#1679732579501#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.90 RSRQ:-11.30 TAC:678 Id:390 EARFCN:1209 PWR:-51.82 PAGING:256 CID:0xB6DC624 BAND:3 BW:20000?
5,-53,16:23:28,$00169#00000005#-053#1679732608014#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-69.90 RSRQ:-10.30 TAC:678 Id:390 EARFCN:1209 PWR:-51.82 PAGING:256 CID:0xB6DC624 BAND:3 BW:20000?
6,-53,16:23:56,$00169#00000006#-053#1679732636526#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.30 RSRQ:-10.80 TAC:678 Id:390 EARFCN:1209 PWR:-51.72 PAGING:256 CID:0xB6DC624 BAND:3 BW:20000?
7,-53,16:24:25,$00169#00000007#-053#1679732665033#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-70.40 RSRQ:-11.20 TAC:678 Id:390 EARFCN:1209 PWR:-51.42 PAGING:256 CID:0xB6DC624 BAND:3 BW:20000?
